# Division I Women's Basketball: 2010-11 Season
# School (Conference)	Wins	Losses
George Washington (Atlantic 10)	8	21
Mt. St. Mary's (Northeast)	8	21
Utah Valley (Great West)	8	21
Southeast Mo. St. (OVC)	8	21
Western Ill. (Summit League)	8	21
Nicholls St. (Southland)	8	21
Alabama St. (Southwestern)	8	22
Evansville (Missouri Valley)	8	22
Wofford (Southern)	8	22
Seton Hall (AAC)	8	22
Northeastern (Colonial)	8	22
Washington St. (Pac-12)	8	23
Long Beach St. (Big West)	8	23
Weber St. (Big Sky)	7	21
NJIT (Great West)	7	21
Rhode Island (Atlantic 10)	7	21
Dartmouth (Ivy League)	7	21
Columbia (Ivy League)	7	21
Fla. Atlantic (Sun Belt)	7	21
Saint Louis (Atlantic 10)	7	22
Colgate (Patriot)	7	22
Longwood (Independent)	7	23
Stony Brook (America East)	7	23
Massachusetts (Atlantic 10)	7	23
Valparaiso (Horizon)	7	24
Eastern Ky. (OVC)	6	21
Cornell (Ivy League)	6	22
Youngstown St. (Horizon)	6	24
Tulsa (Conference USA)	5	20
Saint Peter's (Metro Atlantic)	6	25
Texas Southern (Southwestern)	5	24
North Texas (Sun Belt)	5	25
Vermont (America East)	5	25
Troy (Sun Belt)	5	25
Rider (Metro Atlantic)	5	25
IUPUI (Summit League)	4	24
Maine (America East)	4	25
San Francisco (West Coast)	4	25
Sacramento St. (Big Sky)	4	25
CSUN (Big West)	4	26
William & Mary (Colonial)	3	26
Mercer (ASUN)	2	27
St. Francis Brooklyn (Northeast)	2	27
A&M-Corpus Chris (Southland)	2	27
San Jose St. (Western Athletic)	2	27
Southern Ill. (Missouri Valley)	2	28
Centenary (LA) (Summit League)	1	24
Ark.-Pine Bluff (Southwestern)	1	28
Niagara (Metro Atlantic)	1	29
